,core_serial,details,mission_name,mission_flight,asds_attempts,asds_landings,block,original_launch,reuse_count,rtls_attempts,rtls_landings,water_landing,status
0,Merlin1A,Engine failure at T+33 seconds resulted in loss of vehicle,FalconSat,1.0,0,0,,2006-03-24T22:30:00.000Z,0,0,0,False,lost
1,Merlin2A,"Successful first-stage burn and transition to second stage, maximal altitude 289 km. Harmonic oscillation at T+5 minutes Premature engine shutdown at T+7 min 30 s. Failed to reach orbit.",DemoSat,2.0,0,0,,2007-03-21T01:10:00.000Z,0,0,0,False,lost
2,Merlin1C,Residual stage-1 thrust led to collision between stage 1 and stage 2.,Trailblazer,3.0,0,0,,2008-08-02T03:34:00.000Z,0,0,0,False,lost
3,Merlin2C,"Initially scheduled for 23–25 Sep, carried dummy payload – mass simulator, 165 kg (originally intended to be RazakSAT.",RatSat,4.0,0,0,,2008-09-28T23:15:00.000Z,0,0,0,False,lost
4,Merlin3C,,RazakSat,5.0,0,0,,2009-07-13T03:35:00.000Z,0,0,0,False,lost
5,B0003,Stage Expended,Falcon 9 Test Flight,6.0,0,0,1.0,2010-06-04T18:45:00.000Z,0,0,0,False,lost
6,B0004,First flight of Dragon,COTS 1,7.0,0,0,1.0,2010-12-08T15:43:00.000Z,0,0,0,False,lost
7,B0005,,COTS 2,8.0,0,0,1.0,2012-05-22T07:44:00.000Z,0,0,0,False,lost
8,B0006,Suffered engine out at T+1:19 but primary mission successful,CRS-1,9.0,0,0,1.0,2012-10-08T00:35:00.000Z,0,0,0,False,lost
9,B0007,,CRS-2,10.0,0,0,1.0,2013-03-01T19:10:00.000Z,0,0,0,False,lost
10,B1003,"First flight of Falcon 9 v1.1 upgrade, first Spacex flight from Vandenberg",CASSIOPE,11.0,0,0,1.0,2013-09-29T16:00:00.000Z,0,0,0,True,lost
11,B1004,,SES-8,12.0,0,0,1.0,2013-12-03T22:41:00.000Z,0,0,0,False,lost
12,B1005,,Thaicom 6,13.0,0,0,1.0,2014-01-06T18:06:00.000Z,0,0,0,False,lost
13,B1006,Broke up after sucessful water landing,CRS-3,14.0,0,0,1.0,2014-04-18T19:25:00.000Z,0,0,0,True,lost
14,B1007,Broke up after sucessful water landing,OG-2 Mission 1,15.0,0,0,1.0,2014-07-14T15:15:00.000Z,0,0,0,True,lost
15,B1008,,AsiaSat 8,16.0,0,0,1.0,2014-08-05T08:00:00.000Z,0,0,0,False,lost
16,B1011,,AsiaSat 6,17.0,0,0,1.0,2014-09-07T05:00:00.000Z,0,0,0,False,lost
17,B1010,Broke up after sucessful water landing,CRS-4,18.0,0,0,1.0,2014-09-21T05:52:00.000Z,0,0,0,True,lost
18,B1012,"Destroyed on impact with droneship, grid fin hydraulic fluid depleted",CRS-5,19.0,1,0,1.0,2015-01-10T09:47:00.000Z,0,0,0,False,lost
19,B1013,Broke up after sucessful water landing,DSCOVR,20.0,0,0,1.0,2015-02-11T23:03:00.000Z,0,0,0,True,lost
20,B1014,,ABS-3A / Eutelsat 115W B,21.0,0,0,1.0,2015-03-02T03:50:00.000Z,0,0,0,False,lost
21,B1015,Destroyed on impact with droneship due to excess lateral velocity - throttle stiction,CRS-6,22.0,1,0,1.0,2015-04-14T20:10:00.000Z,0,0,0,False,lost
22,B1016,,TürkmenÄlem 52°E / MonacoSAT,23.0,0,0,1.0,2015-04-27T23:03:00.000Z,0,0,0,False,lost
23,B1018,RUD at T + 139s - second stage overpressure event due to defective COPV strut heim joint,CRS-7,24.0,0,0,1.0,2015-06-28T14:21:00.000Z,0,0,0,False,lost
24,B1019,Retired; permanently displayed at Hawthorne headquarters. ,OG-2 Mission 2,25.0,0,0,1.0,2015-12-22T01:29:00.000Z,0,1,1,False,inactive
